"strain"	"expt"	"Tc"	"Wc"	"Tg"	"Wg"	"Bmin"	"Bmax"	"B0"	"Half.0.raw"
"M13"	"M13,053006"	9.59091206413375	17	11.5410906330189	17	0.00213371266002845	0.245219347581552	0.00362157343436595	0.000111433028749721
"M14"	"M14,053006"	4.03035597285349	5	7.42321711030252	5	0.00284090909090909	0.145990404386566	0.00995790986551689	0.00123190637511549
"M2-8"	"M2-8-1,053006"	5.19382109508838	10	5	10	0.0029940119760479	0.333333333333333	0.011821630835212	0.000494858965194919
"M2-8"	"M2-8-2,053006"	5.10850615598212	10	4.50035537438229	10	0.00488758553274682	0.25	0.0105716924971775	0.00107769680796469
"M32"	"M32,053006"	8.26035312375861	6	7.83333333333333	6	0.0118273211117682	0.0823529411764706	0.0219549308021158	0.00217375552496196
"M5"	"M5,053006"	5.92303418013372	20	7.83333333333333	20	0.00146198830409357	0.0901339829476248	0.00249716231555051	0.00158910329171396
"M8"	"M8,053006"	11.0444991870693	10	10.8958333333333	10	0.00358637178720861	0.0885714285714286	0.0158281514980215	0.000598543544042829
"YPS128"	"YPS128,053006"	5	5	5	5	0.0197275716298732	0.25	0.0349934469200524	0.00517693315858454
"YPS163"	"YPS163,053006"	5	5	5	5	0.00940785832872164	0.124513618677043	0.0148577329050023	0.00430243230839835
"101S"	"101S.030906.tab"	5.04922681514222	17.3399977373677	6	"NA"	0.0018682858477347	0.0588235294117647	0.00286726260752235	0.000168662506324844
"M1-2"	"M1-2.030906.txt"	5.83430637603969	19.1792961503486	6.08333333333333	10	0.00143563566757059	0.0314650934119961	0.00180475799835931	0
"M13"	"M13.lohcls.013106.tab"	8.26555455020707	16.3565557313233	10.5534801096187	23.1705403464029	0.00104616189355303	0.140756302521008	0.00191597098672506	0.000136855070480361
"M14"	"M14.lohcls.013106.tab"	5.29498270333695	23.0958578541039	6.5	10	0.00451085424302227	0.222222222222222	0.00854244527495996	0.00133475707421249
"M2-8"	"M28.022006.txt"	4.2896920761128	8.46747168685595	4.91666666666667	10	0.00254366627098525	0.0218579234972678	0.00257289879931389	0.00100057175528874
"M32"	"M32.022006.txt"	7.58296438222938	10.620982422775	7.83333333333333	20	0.00988060930424043	0.0284810126582279	0.0121841155234657	0.00225631768953069
"M5"	"M5.032906.tab"	6.00841234997851	24.8861188182758	9.07370486192871	6.16011326904263	0.00163296068333124	0.3564875491481	0.00163296068333124	0.000125612360256249
"M8"	"M8.030906.txt"	5.7282474010923	16.6440634854562	7.46361695397453	11.3616867910027	0.00412774277645014	0.185265438786566	0.00577915376676987	0
"YPS128"	"YPS128.013106.tab"	6.74477705451474	6.57918083685196	9.5426317815652	10.616383879347	0.00175404404599493	0.155601659751037	0.00175404404599493	0.000779575131553303
"YPS128"	"YPS128.121205.37C.tab"	2.9768056294967	21.0812492948438	4.18030154388324	29.4101937450601	0.00205151584226123	0.428571428571429	0.00345383375546857	0.000460511167395809
"YPS163"	"YPS163.030906.txt"	4.33473431188034	8.10012625719278	5.22377857808817	21.0232068198267	0.00295285612463089	0.186234817813765	0.00295285612463089	0.000509113124936361
"rad52DD"	"Rad52DD060306a"	3.290158	1.849584	6.083011	1.200976	0.1688073	0.2550432	"NA"	"NA"
"rad52DD"	"Rad52DD060306b"	2.946154	1.738741	8.297513	1.928799	0.11118851	0.2879445	"NA"	"NA"
"rad52DD"	"Rad52DD050706a"	2.37356	2.506061	2.8895522	0.8226696	0.131141	0.3531409	"NA"	"NA"
"rad52DD"	"Rad52DD050706b"	1.96175	1.998624	2.033856	1.445409	0.09297052	0.2163743	"NA"	"NA"
"BY4743"	"BY4743.032906.tab"	15.0689397508392	2.34252193391492	16.3270167098441	2.4139433504539	0.00469128329297821	0.0403286034353996	0.00580028217588964	0.00109735068192507
"SGU57"	"sgu57.022006.txt"	3.6366681572143	7.43640687066019	4	"NA"	0.0575539568345324	0.371794871794872	0.0575539568345324	0.0359712230215827
